Open Time,Open,High,Low,Close,Volume,Close Time,EMA9,EMA60,EMA200,RSI,RSI_SMA,StochRSI_%K,StochRSI_%D,MACD,MACD_Signal,MACD_Hist
2019-09-09 01:00:00,10000.0,10357.53,10000.0,10340.12,471.661,2019-09-09 04:59:59,,,,,,,,,,
2019-09-09 05:00:00,10340.12,10412.65,10324.77,10391.63,2624.63,2019-09-09 08:59:59,,,,,,,,,,
2019-09-09 09:00:00,10316.62,10316.68,10267.37,10297.89,779.449,2019-09-09 12:59:59,,,,,,,,,,
2019-09-09 13:00:00,10297.89,10316.34,10092.71,10149.47,2664.789,2019-09-09 16:59:59,,,,,,,,,,
2019-09-09 17:00:00,10149.47,10475.54,10077.22,10414.6,2466.485,2019-09-09 20:59:59,,,,,,,,,,
2019-09-09 21:00:00,10411.7,10411.7,10302.69,10314.26,3386.015,2019-09-10 00:59:59,,,,,,,,,,
2019-09-10 01:00:00,10314.26,10333.55,10183.31,10308.87,3915.329,2019-09-10 04:59:59,,,,,,,,,,
2019-09-10 05:00:00,10307.8,10420.65,10228.28,10307.0,1612.306,2019-09-10 08:59:59,,,,,,,,,,
2019-09-10 09:00:00,10307.0,10382.97,10266.61,10307.25,1547.455,2019-09-10 12:59:59,10315.152116966403,,,,,,,,,
2019-09-10 13:00:00,10309.17,10329.24,10226.81,10272.46,1706.083,2019-09-10 16:59:59,10306.613693573123,,,,,,,,,
2019-09-10 17:00:00,10271.93,10290.01,10206.87,10254.56,1409.001,2019-09-10 20:59:59,10296.202954858498,,,,,,,,,
2019-09-10 21:00:00,10252.7,10270.58,10167.91,10179.1,1529.81,2019-09-11 00:59:59,10272.7823638868,,,,,,,,,
2019-09-11 01:00:00,10172.13,10237.41,9940.87,10026.56,1413.946,2019-09-11 04:59:59,10223.53789110944,,,,,,,,,
2019-09-11 05:00:00,10021.49,10127.22,9991.73,10102.02,1462.66,2019-09-11 08:59:59,10199.234312887553,,,35.72460771060125,,,,,,
2019-09-11 09:00:00,10094.27,10293.11,10051.0,10093.88,1377.981,2019-09-11 12:59:59,10178.163450310043,,,35.25057483836453,,,,,,
